Codigo distrito,Nombre tipo zona,Nit cliente-sucursal,Recency,Monetary,Frequency,Distrito-Nombretipozona,Cluster
20,V Industria,800010298-1,1,73,1,20-V Industria,Cluster 4
20,V Industria,800078522-1,24,20224,13,20-V Industria,Cluster 1
20,V Industria,800082633-1,24,19079,21,20-V Industria,Cluster 1
20,V Industria,800085665-1,24,1036,10,20-V Industria,Cluster 4
20,V Industria,800093443-1,17,2328,9,20-V Industria,Cluster 4
20,V Industria,800166763-1,24,9662,5,20-V Industria,Cluster 1
20,V Industria,800210144-1,24,10232,14,20-V Industria,Cluster 1
20,V Industria,800256897-1,23,14192,22,20-V Industria,Cluster 1
20,V Industria,805000929-1,23,11576,23,20-V Industria,Cluster 1
20,V Industria,805002992-1,23,3740,23,20-V Industria,Cluster 4
20,V Industria,805007404-1,22,12381,22,20-V Industria,Cluster 1
20,V Industria,805009691-1,23,24462,17,20-V Industria,Cluster 0
20,V Industria,805009710-1,23,10251,23,20-V Industria,Cluster 1
20,V Industria,805023817-1,23,3579,23,20-V Industria,Cluster 4
20,V Industria,805030849-1,24,6245,24,20-V Industria,Cluster 4
20,V Industria,815001802-1,24,78272,23,20-V Industria,Cluster 3
20,V Industria,830511508-1,23,1841,7,20-V Industria,Cluster 4
20,V Industria,890300510-1,23,107145,17,20-V Industria,Cluster 3
20,V Industria,890301839-1,23,7651,15,20-V Industria,Cluster 4
20,V Industria,890301886-2,24,4650,1,20-V Industria,Cluster 4
20,V Industria,890306231-1,19,1536,7,20-V Industria,Cluster 4
20,V Industria,890308184-1,24,2300,9,20-V Industria,Cluster 4
20,V Industria,890317364-1,24,1131,6,20-V Industria,Cluster 4
20,V Industria,890318919-1,22,29994,16,20-V Industria,Cluster 0
20,V Industria,890321924-1,23,16051,23,20-V Industria,Cluster 1
20,V Industria,890901475-1,22,7214,6,20-V Industria,Cluster 4
20,V Industria,891300043-1,24,33073,18,20-V Industria,Cluster 0
20,V Industria,891300120-1,24,35036,24,20-V Industria,Cluster 0
20,V Industria,891300382-1,24,81420,23,20-V Industria,Cluster 3
20,V Industria,900062992-1,24,17711,15,20-V Industria,Cluster 1
20,V Industria,900072914-1,22,3432,3,20-V Industria,Cluster 4
20,V Industria,900292211-1,23,228,1,20-V Industria,Cluster 4
20,V Industria,900429459-1,24,13906,15,20-V Industria,Cluster 1
20,V Industria,900445797-1,24,139663,19,20-V Industria,Cluster 2
20,V Industria,900606023-1,15,767,15,20-V Industria,Cluster 4
20,V Industria,900676852-1,23,3422,23,20-V Industria,Cluster 4
20,V Industria,901132114-1,20,4282,20,20-V Industria,Cluster 4
