Codigo distrito,Nombre tipo zona,Nit cliente-sucursal,Recency,Monetary,Frequency,Distrito-Nombretipozona,Cluster
70,Institucional,10010701-1,1,125,1,70-Institucional,Cluster 0
70,Institucional,10011749-1,19,360,10,70-Institucional,Cluster 0
70,Institucional,1001218920-1,16,263,1,70-Institucional,Cluster 0
70,Institucional,10018289-1,19,13539,9,70-Institucional,Cluster 0
70,Institucional,10020792-1,20,4626,10,70-Institucional,Cluster 0
70,Institucional,1002576056-1,24,645,2,70-Institucional,Cluster 0
70,Institucional,10030833-1,19,1026,6,70-Institucional,Cluster 0
70,Institucional,10031321-1,19,1454,14,70-Institucional,Cluster 0
70,Institucional,1004916129-1,14,1296,3,70-Institucional,Cluster 0
70,Institucional,1004960368-1,13,638,3,70-Institucional,Cluster 0
70,Institucional,10068737-1,16,990,8,70-Institucional,Cluster 0
70,Institucional,10068880-1,8,290,3,70-Institucional,Cluster 0
70,Institucional,10073070-1,21,328,21,70-Institucional,Cluster 0
70,Institucional,1007322667-1,22,1150,3,70-Institucional,Cluster 0
70,Institucional,10082987-1,13,139,1,70-Institucional,Cluster 0
70,Institucional,10084891-1,18,2167,12,70-Institucional,Cluster 0
70,Institucional,10088853-1,24,43114,24,70-Institucional,Cluster 3
70,Institucional,10088989-1,3,4045,1,70-Institucional,Cluster 0
70,Institucional,10090407-1,16,51,1,70-Institucional,Cluster 0
70,Institucional,10100094-1,24,1444,17,70-Institucional,Cluster 0
70,Institucional,10100763-1,22,2090,10,70-Institucional,Cluster 0
70,Institucional,10103727-1,11,34,4,70-Institucional,Cluster 0
70,Institucional,10105952-1,9,898,6,70-Institucional,Cluster 0
70,Institucional,10106945-1,19,189,2,70-Institucional,Cluster 0
70,Institucional,10109371-1,16,2783,1,70-Institucional,Cluster 0
70,Institucional,10117685-1,24,1215,2,70-Institucional,Cluster 0
70,Institucional,10129268-1,9,558,1,70-Institucional,Cluster 0
70,Institucional,10130633-1,13,1768,5,70-Institucional,Cluster 0
70,Institucional,10132500-1,22,377,3,70-Institucional,Cluster 0
70,Institucional,10135880-1,19,3115,11,70-Institucional,Cluster 0
70,Institucional,10199519-1,19,2259,1,70-Institucional,Cluster 0
70,Institucional,1020428213-1,8,630,2,70-Institucional,Cluster 0
70,Institucional,1020800605-1,13,1028,4,70-Institucional,Cluster 0
70,Institucional,10219007-1,23,646,3,70-Institucional,Cluster 0
70,Institucional,10234203-1,18,620,1,70-Institucional,Cluster 0
70,Institucional,10289729-1,7,74,1,70-Institucional,Cluster 0
70,Institucional,1037626218-1,2,237,1,70-Institucional,Cluster 0
70,Institucional,1053832280-1,24,1886,11,70-Institucional,Cluster 0
70,Institucional,1054919717-1,7,40,1,70-Institucional,Cluster 0
70,Institucional,1060647391-1,24,384,2,70-Institucional,Cluster 0
70,Institucional,1061369942-1,4,83,1,70-Institucional,Cluster 0
70,Institucional,1061730968-1,24,126,5,70-Institucional,Cluster 0
70,Institucional,1087984498-1,11,431,5,70-Institucional,Cluster 0
70,Institucional,1088000045-1,11,163,1,70-Institucional,Cluster 0
70,Institucional,1088020031-1,24,393,4,70-Institucional,Cluster 0
70,Institucional,1088026538-1,18,3201,17,70-Institucional,Cluster 0
70,Institucional,1088237549-1,22,46,3,70-Institucional,Cluster 0
70,Institucional,1088237764-1,21,471,2,70-Institucional,Cluster 0
70,Institucional,1088239254-1,10,311,1,70-Institucional,Cluster 0
70,Institucional,1088307137-1,7,609,3,70-Institucional,Cluster 0
70,Institucional,1088308590-1,17,288,1,70-Institucional,Cluster 0
70,Institucional,1088323954-1,24,1140,2,70-Institucional,Cluster 0
70,Institucional,1088333987-1,6,44,1,70-Institucional,Cluster 0
70,Institucional,1093536440-1,22,6026,4,70-Institucional,Cluster 0
70,Institucional,1094885841-1,24,722,4,70-Institucional,Cluster 0
70,Institucional,1094888312-1,24,495,2,70-Institucional,Cluster 0
70,Institucional,1094898805-1,24,191,1,70-Institucional,Cluster 0
70,Institucional,1094907151-1,1,179,1,70-Institucional,Cluster 0
70,Institucional,1094915552-1,20,171,1,70-Institucional,Cluster 0
70,Institucional,1094916790-1,21,168,1,70-Institucional,Cluster 0
70,Institucional,1094960256-1,7,407,2,70-Institucional,Cluster 0
70,Institucional,1094975319-1,17,1220,4,70-Institucional,Cluster 0
70,Institucional,1094977767-1,11,452,2,70-Institucional,Cluster 0
70,Institucional,1097398340-1,10,579,2,70-Institucional,Cluster 0
70,Institucional,1097401069-1,20,669,3,70-Institucional,Cluster 0
70,Institucional,1112625290-1,24,38654,12,70-Institucional,Cluster 3
70,Institucional,1112626446-1,19,2948,5,70-Institucional,Cluster 0
70,Institucional,1112762907-1,23,5216,4,70-Institucional,Cluster 0
70,Institucional,1112774338-1,21,1647,6,70-Institucional,Cluster 0
70,Institucional,1112790971-1,8,254,1,70-Institucional,Cluster 0
70,Institucional,1115193093-1,23,7693,4,70-Institucional,Cluster 0
70,Institucional,11324575-1,8,8100,1,70-Institucional,Cluster 0
70,Institucional,11447473-1,2,6096,2,70-Institucional,Cluster 0
70,Institucional,1192802955-1,3,166,1,70-Institucional,Cluster 0
70,Institucional,14566530-1,23,281,2,70-Institucional,Cluster 0
70,Institucional,15919826-1,15,2425,11,70-Institucional,Cluster 0
70,Institucional,15924714-1,6,213,1,70-Institucional,Cluster 0
70,Institucional,16201013-1,22,292,4,70-Institucional,Cluster 0
70,Institucional,16210360-1,19,2378,9,70-Institucional,Cluster 0
70,Institucional,16210556-1,8,1174,1,70-Institucional,Cluster 0
70,Institucional,16215502-1,1,166,1,70-Institucional,Cluster 0
